CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00001001,76571,AGUASCALIENTES (OBS),AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,OBSERVATORIO,CONAGUA-SMN,01/01/1981,31/07/2010,OPERANDO,21,51,1,102,17,27,1890.8,
00001003,,CALVILLO (SMN),CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1932,31/12/1988,SUSPENDIDA,21,53,0,102,43,8,1640.0,
00001004,,CAÑADA HONDA,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/03/1970,30/11/2011,OPERANDO,22,0,3,102,11,56,1925.0,
00001005,,PRESA EL NIAGARA,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,01/04/1957,30/11/2011,OPERANDO,21,46,50,102,22,18,1844.0,
00001006,,EL TULE (SMN),ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-SMN,01/12/1941,31/12/1988,SUSPENDIDA,22,4,54,102,5,29,1960.0,
00001007,,JESUS MARIA (SMN),JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-SMN,01/12/1941,31/12/1988,SUSPENDIDA,21,57,44,102,20,41,1880.0,
00001008,,PUERTO DE LA CONCEPCION,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/07/1959,30/11/2011,OPERANDO,22,12,10,102,8,6,2322.8,
00001009,,LA LABOR (SMN),CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1944,31/12/1988,SUSPENDIDA,21,57,44,102,41,41,1740.0,
00001010,,LA TINAJA,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1961,31/08/2011,OPERANDO,22,9,52,102,33,15,2525.7,
00001011,,MALPASO,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,01/03/1949,31/10/2011,OPERANDO,21,51,36,102,39,50,1730.2,
00001012,,PRESA MEDIA LUNA,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,01/07/1970,30/11/2011,OPERANDO,21,47,40,102,48,6,1588.7,
00001013,,MESILLAS,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/09/1963,31/10/2011,OPERANDO,22,18,48,102,9,57,2020.5,
00001014,,PABELLON CAMPO EXPERIMENTAL,PABELLON DE ARTEAGA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/10/1937,30/11/2006,OPERANDO,22,10,1,102,17,34,1933.7,
00001015,,PALO ALTO,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,01/05/1967,30/11/2011,OPERANDO,21,54,59,101,58,10,2037.5,
00001016,,GANADERIA PEÑUELAS,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-SMN,01/04/1945,31/05/1976,SUSPENDIDA,21,42,38,102,16,56,1850.0,
00001017,,PRESA POTRERILLOS,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/05/1942,30/11/2011,OPERANDO,22,13,58,102,26,37,2171.9,
00001018,,PRESA PLUTARCO ELIAS CALLES,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/11/1933,30/11/2011,OPERANDO,22,8,29,102,24,55,2053.1,
00001019,,PRESA JOCOQUE,PABELLON DE ARTEAGA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/07/1942,30/11/2011,OPERANDO,22,7,41,102,21,34,2006.2,
00001020,,PRESA LA CODORNIZ,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1963,30/11/2011,OPERANDO,21,59,48,102,40,27,1850.2,
00001021,,RANCHO VIEJO,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1959,30/11/2011,OPERANDO,22,7,24,102,30,40,2126.6,
00001022,,SAN BARTOLO,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,01/05/1949,30/11/2011,OPERANDO,21,44,53,102,10,13,1997.6,
00001023,,CALVILLO (DGE),CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1959,31/10/2011,OPERANDO,21,50,12,102,42,42,1684.6,
00001024,,SAN ISIDRO,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/01/1969,31/08/2011,OPERANDO,21,46,43,102,6,14,2004.4,
00001025,,SAN FRANCISCO DE LOS ROMO (SMN),SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-SMN,01/06/1926,31/12/1983,SUSPENDIDA,22,4,38,102,16,16,1880.0,
00001026,,TEPEZALA,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/07/1962,31/10/2011,OPERANDO,22,13,25,102,10,8,2110.2,
00001027,,VENADERO (DGE),JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-DGE,01/01/1951,31/10/2011,OPERANDO,21,52,38,102,27,48,2025.6,
00001028,,VILLA JUAREZ,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/04/1949,30/11/2011,OPERANDO,22,6,3,102,4,4,1999.3,
00001029,,ASIENTOS,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/07/1959,31/10/2011,OPERANDO,22,14,23,102,5,20,2162.8,
00001030,,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,01/10/1947,30/11/2011,OPERANDO,21,53,44,102,18,31,1888.7,
00001031,,EL NOVILLO,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/05/1972,30/11/2011,OPERANDO,22,1,8,101,59,57,2042.6,
00001032,,LAS FRAGUAS,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,01/06/1971,31/10/2011,OPERANDO,22,2,21,101,53,33,2086.0,
00001033,,LOS CONOS,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,01/07/1971,30/11/2011,OPERANDO,21,53,52,101,59,33,2025.9,
00001034,,SANDOVALES,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,01/04/1972,30/11/2011,OPERANDO,21,53,6,102,6,33,2007.0,
00001035,,SAN FRANCISCO DE LOS VIVEROS,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO VERDE GRANDE,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,01/04/1972,31/12/1983,SUSPENDIDA,21,54,43,102,7,48,2020.0,
